# TRACY II v. SYNCHROTRON SOLEIL -- chambre.out -- Mon Feb 16 09:22:31 2004 
#  i  name      s   -xch(mm)   +xch(mm)  zch (mm)
#
 371  sx5    105.31  -1000.000  1000.000  1000.000
 372  sd4    105.70  -1000.000  1000.000  1000.000
 373  qp7    105.93  -1000.000  1000.000  1000.000
 374  qp7    106.16  -1000.000  1000.000  1000.000
 375  sd3    106.36  -1000.000  1000.000  1000.000
 376  sx6    106.36  -1000.000  1000.000  1000.000
 377  sd2    106.75  -1000.000  1000.000  1000.000
 378  qp8    106.91  -1000.000  1000.000  1000.000
 379  qp8    107.07  -1000.000  1000.000  1000.000
 380  sd13   110.55  -1000.000  1000.000  1000.000
 381  sd13   114.04  -1000.000  1000.000  1000.000
 382  qp8    114.20  -1000.000  1000.000  1000.000
 383  qp8    114.36  -1000.000  1000.000  1000.000
 384  sd2    114.75  -1000.000  1000.000  1000.000
 385  sx8    114.75  -1000.000  1000.000  1000.000
 386  sd3    114.95  -1000.000  1000.000  1000.000
 387  qp7    115.18  -1000.000  1000.000  1000.000
 388  qp7    115.41  -1000.000  1000.000  1000.000
 389  sd4    115.80  -1000.000  1000.000  1000.000
 390  sx7    115.80  -1000.000  1000.000  1000.000
 391  sd5    116.00  -1000.000  1000.000  1000.000
 392  qp6    116.16  -1000.000  1000.000  1000.000
 393  qp6    116.32  -1000.000  1000.000  1000.000
 394  sd7    116.76  -1000.000  1000.000  1000.000
 395  bend2  116.93  -1000.000  1000.000  1000.000
 396  bend3  117.11  -1000.000  1000.000  1000.000
 397  bend3  117.28  -1000.000  1000.000  1000.000
 398  bend3  117.46  -1000.000  1000.000  1000.000
 399  bend3  117.63  -1000.000  1000.000  1000.000
 400  bend4  117.81  -1000.000  1000.000  1000.000
 401  sd7    118.25  -1000.000  1000.000  1000.000
 402  qp9    118.41  -1000.000  1000.000  1000.000
 403  qp9    118.57  -1000.000  1000.000  1000.000
 404  sd8    118.77  -1000.000  1000.000  1000.000
 405  sx9    118.77  -1000.000  1000.000  1000.000
 406  sd9    119.25  -1000.000  1000.000  1000.000
 407  qp10   119.41  -1000.000  1000.000  1000.000
 408  qp10   119.57  -1000.000  1000.000  1000.000
 409  sd8    119.77  -1000.000  1000.000  1000.000
 410  sx10   119.77  -1000.000  1000.000  1000.000
 411  sdac   121.67  -1000.000  1000.000  1000.000
 412  sdac   123.57  -1000.000  1000.000  1000.000
 413  sx10   123.57  -1000.000  1000.000  1000.000
 414  sd8    123.77  -1000.000  1000.000  1000.000
 415  qp10   123.93  -1000.000  1000.000  1000.000
 416  qp10   124.09  -1000.000  1000.000  1000.000
 417  sd9    124.57  -1000.000  1000.000  1000.000
 418  sx9    124.57  -1000.000  1000.000  1000.000
 419  sd8    124.77  -1000.000  1000.000  1000.000
 420  qp9    124.93  -1000.000  1000.000  1000.000
 421  qp9    125.09  -1000.000  1000.000  1000.000
 422  sd7    125.53  -1000.000  1000.000  1000.000
 423  bend2  125.71  -1000.000  1000.000  1000.000
 424  bend3  125.88  -1000.000  1000.000  1000.000
 425  bend3  126.06  -1000.000  1000.000  1000.000
 426  bend3  126.23  -1000.000  1000.000  1000.000
 427  bend3  126.41  -1000.000  1000.000  1000.000
 428  bend4  126.58  -1000.000  1000.000  1000.000
