# TRACY II v. SYNCHROTRON SOLEIL -- fmap.out -- Mon Feb 16 09:22:33 2004 
# nu = f(x) 
#    x[m]          z[m]           fx            fz           dfx           dfz
 1.601000e-03  1.732151e-02 -3.013818e-01 -3.013820e-01  1.675702e-07 -4.393315e-08
 1.601000e-03  1.743660e-02 -3.014002e-01 -3.014003e-01  3.152731e-08  4.287485e-09
 1.601000e-03  1.755093e-02 -3.014165e-01 -3.014166e-01  2.413224e-08  7.868268e-09
 1.601000e-03  1.766452e-02 -3.014305e-01 -3.014306e-01  1.573124e-07  5.805918e-10
 1.601000e-03  1.777739e-02 -3.014421e-01 -3.014420e-01 -3.709715e-08 -7.563941e-09
 1.601000e-03  1.788954e-02 -3.014507e-01 -3.014507e-01 -1.599492e-08  1.159151e-09
 1.601000e-03  1.800100e-02 -3.014561e-01 -3.014561e-01 -7.989583e-09  2.312112e-08
 1.601000e-03  1.811177e-02 -3.014576e-01 -3.014576e-01 -3.769774e-08 -2.048066e-08
 1.601000e-03  1.822187e-02 -3.014441e-01 -3.014440e-01  1.222452e-05  1.288593e-05
 1.601000e-03  1.833130e-02 -3.018319e-01 -3.018318e-01 -6.840636e-02  1.463587e-05
 1.601000e-03  1.844009e-02 -3.016797e-01 -3.016764e-01 -1.453936e-04 -1.436294e-04
 1.601000e-03  1.854824e-02 -3.015275e-01 -3.015263e-01 -6.541208e-06 -4.323641e-06
 1.601000e-03  1.865576e-02 -3.014889e-01 -3.014888e-01 -3.154012e-08 -1.081680e-07
 1.601000e-03  1.876266e-02 -3.014619e-01 -3.014619e-01  3.587264e-08  3.425774e-08
 1.601000e-03  1.886896e-02 -3.014373e-01 -3.014374e-01 -2.744781e-07 -3.488604e-07
 1.601000e-03  1.897467e-02 -3.014110e-01 -3.014111e-01 -5.238490e-08 -9.553911e-08
 1.601000e-03  1.907978e-02 -3.013815e-01 -3.013816e-01  1.797679e-07 -8.843619e-09
 1.601000e-03  1.918433e-02 -3.013480e-01 -3.013481e-01  7.820692e-09 -7.418465e-08
 1.601000e-03  1.928830e-02 -3.013098e-01 -3.013098e-01  3.516861e-09 -3.186097e-09
 1.601000e-03  1.939172e-02 -3.012661e-01 -3.012662e-01  7.073108e-08  1.502766e-07
 1.601000e-03  1.949459e-02 -3.012160e-01 -3.012159e-01  9.372300e-09  5.781068e-07
 1.601000e-03  1.959692e-02 -3.011586e-01 -3.011585e-01 -4.172385e-07 -3.402615e-07
 1.601000e-03  1.969872e-02 -3.010737e-01 -3.010737e-01 -8.235490e-07 -7.343639e-07
 1.601000e-03  1.979999e-02 -3.010875e-01 -3.010870e-01  1.510000e-04  1.518300e-04
 1.601000e-03  1.990075e-02 -3.009703e-01 -3.009707e-01  2.756785e-07 -5.952828e-07
 1.601000e-03  2.000100e-02 -3.008729e-01 -3.008736e-01  4.757651e-06  4.660829e-06
 2.263742e-03  1.000000e-06 -2.002693e-01 -2.004459e-01  8.208026e-07 -3.837672e-04
 2.263742e-03  2.001000e-03 -2.007036e-01 -3.005742e-01 -6.332924e-06  1.027280e-05
 2.263742e-03  2.829427e-03 -2.010466e-01 -3.005597e-01  1.506276e-05 -1.300295e-05
 2.263742e-03  3.465102e-03 -2.013855e-01 -3.005317e-01  1.281110e-05 -1.136701e-05
 2.263742e-03  4.001000e-03 -2.017359e-01 -3.004995e-01 -4.797227e-07  2.974313e-06
 2.263742e-03  4.473136e-03 -2.020893e-01 -3.004627e-01  2.126457e-05 -1.355348e-05
 2.263742e-03  4.899979e-03 -2.024484e-01 -3.004320e-01 -5.071066e-06  1.435910e-06
 2.263742e-03  5.292503e-03 -2.027992e-01 -3.004091e-01 -1.499979e-05  1.737765e-06
 2.263742e-03  5.657854e-03 -2.031406e-01 -3.003876e-01 -2.726168e-06 -1.325510e-07
 2.263742e-03  6.001000e-03 -2.034887e-01 -3.003662e-01  2.252948e-06 -3.703249e-07
 2.263742e-03  6.325555e-03 -2.038428e-01 -3.003460e-01  1.060183e-07 -3.850508e-08
 2.263742e-03  6.634250e-03 -2.041971e-01 -3.003276e-01  7.225278e-07 -6.442094e-08
 2.263742e-03  6.929203e-03 -2.045526e-01 -3.003109e-01  1.530834e-06 -1.616931e-07
 2.263742e-03  7.212103e-03 -2.049112e-01 -3.002956e-01  6.288271e-07 -5.498497e-08
 2.263742e-03  7.484315e-03 -2.052719e-01 -3.002822e-01  5.752664e-07 -8.662173e-08
 2.263742e-03  7.746967e-03 -2.056340e-01 -3.002704e-01  1.181364e-06 -1.152220e-07
 2.263742e-03  8.001000e-03 -2.059993e-01 -3.002602e-01  1.416291e-07 -4.618318e-08
 2.263742e-03  8.247211e-03 -2.063665e-01 -3.002517e-01 -1.979929e-07 -1.720574e-08
 2.263742e-03  8.486281e-03 -2.067356e-01 -3.002449e-01  3.310882e-07  7.202372e-09
 2.263742e-03  8.718798e-03 -2.071079e-01 -3.002396e-01 -1.101115e-08 -4.024604e-09
 2.263742e-03  8.945272e-03 -2.074818e-01 -3.002361e-01  1.061037e-07 -2.696317e-08
 2.263742e-03  9.166151e-03 -2.078583e-01 -3.002340e-01  1.376257e-07 -1.093877e-08
 2.263742e-03  9.381832e-03 -2.082372e-01 -3.002336e-01  1.978292e-07 -1.376111e-08
 2.263742e-03  9.592663e-03 -2.086180e-01 -3.002346e-01  5.570620e-07 -8.201105e-09
 2.263742e-03  9.798959e-03 -2.090015e-01 -3.002372e-01  8.678341e-08  6.588287e-09
 2.263742e-03  1.000100e-02 -2.093870e-01 -3.002413e-01 -7.518312e-08 -5.049973e-10
 2.263742e-03  1.019904e-02 -2.097746e-01 -3.002469e-01 -3.093575e-08 -1.750505e-08
 2.263742e-03  1.039330e-02 -2.101645e-01 -3.002539e-01 -3.690273e-08 -8.254519e-08
 2.263742e-03  1.058401e-02 -2.105562e-01 -3.002622e-01  1.910327e-07 -1.820197e-07
 2.263742e-03  1.077133e-02 -2.109501e-01 -3.002720e-01  1.823698e-07 -2.541927e-07
 2.263742e-03  1.095545e-02 -2.113460e-01 -3.002831e-01  1.769403e-07 -2.181950e-07
 2.263742e-03  1.113653e-02 -2.117438e-01 -3.002954e-01  3.222282e-07 -3.826497e-08
 2.263742e-03  1.131471e-02 -2.121435e-01 -3.003091e-01  3.534919e-07  1.339137e-07
 2.263742e-03  1.149013e-02 -2.125449e-01 -3.003240e-01  1.466286e-07  1.426861e-07
 2.263742e-03  1.166290e-02 -2.129481e-01 -3.003401e-01  6.487686e-08  6.981614e-09
 2.263742e-03  1.183316e-02 -2.133527e-01 -3.003574e-01  2.793608e-07 -2.855095e-08
 2.263742e-03  1.200100e-02 -2.137590e-01 -3.003759e-01  2.070732e-07  9.105251e-08
 2.263742e-03  1.216653e-02 -2.141667e-01 -3.003955e-01  1.689540e-07  1.230424e-07
 2.263742e-03  1.232983e-02 -2.145759e-01 -3.004161e-01  7.696833e-08  2.808363e-08
 2.263742e-03  1.249100e-02 -2.149863e-01 -3.004378e-01 -3.779517e-08 -2.705007e-09
 2.263742e-03  1.265011e-02 -2.153979e-01 -3.004604e-01  1.800974e-07  9.372688e-09
 2.263742e-03  1.280725e-02 -2.158106e-01 -3.004840e-01 -1.023010e-08 -1.425168e-08
 2.263742e-03  1.296248e-02 -2.162242e-01 -3.005084e-01  1.299279e-07  2.563587e-08
 2.263742e-03  1.311588e-02 -2.166387e-01 -3.005337e-01 -4.107878e-09  1.539849e-08
 2.263742e-03  1.326750e-02 -2.170541e-01 -3.005598e-01  1.746479e-07  2.372848e-09
 2.263742e-03  1.341741e-02 -2.174702e-01 -3.005866e-01  4.729250e-08  4.775430e-08
 2.263742e-03  1.356566e-02 -2.178867e-01 -3.006142e-01  1.037805e-07  6.601352e-09
 2.263742e-03  1.371231e-02 -3.006420e-01 -3.006423e-01  2.876553e-07  3.540695e-08
 2.263742e-03  1.385741e-02 -2.187211e-01 -3.006711e-01 -2.814328e-08 -5.303411e-09
 2.263742e-03  1.400100e-02 -3.007004e-01 -3.007005e-01  6.756000e-07  5.189503e-09
 2.263742e-03  1.414314e-02 -3.007300e-01 -3.007305e-01  5.323477e-07  5.344109e-07
 2.263742e-03  1.428386e-02 -3.007598e-01 -3.007606e-01  6.407421e-07  7.319855e-09
 2.263742e-03  1.442321e-02 -3.007905e-01 -3.007912e-01  1.304886e-06  1.933849e-08
 2.263742e-03  1.456122e-02 -3.008217e-01 -3.008222e-01 -3.416609e-08  1.406272e-09
 2.263742e-03  1.469794e-02 -3.008533e-01 -3.008533e-01  5.145504e-08 -1.013625e-07
 2.263742e-03  1.483340e-02 -3.008847e-01 -3.008847e-01  9.540171e-08 -1.312365e-09
 2.263742e-03  1.496763e-02 -3.009160e-01 -3.009161e-01  2.591759e-07  1.999076e-09
 2.263742e-03  1.510067e-02 -3.009472e-01 -3.009476e-01  4.999674e-08 -6.514165e-10
 2.263742e-03  1.523255e-02 -3.009785e-01 -3.009789e-01  8.996341e-07  6.656420e-08
 2.263742e-03  1.536329e-02 -3.010116e-01 -3.010119e-01 -2.593607e-07 -2.635184e-07
 2.263742e-03  1.549293e-02 -3.010420e-01 -3.010421e-01  1.329084e-07  1.107914e-08
 2.263742e-03  1.562150e-02 -3.010730e-01 -3.010729e-01 -1.385257e-08 -3.026367e-09
