# TRACY II v. SYNCHROTRON SOLEIL -- linlat.out -- Mon Feb 16 09:22:32 2004 
#       name           s    alphax  betax   nux   etax   etapx  alphay  betay   nuy   etay   etapy
#                     [m]            [m]           [m]                   [m]           [m]
#                     exit        
 120:sd7             29.73  -2.250  2.222  1.642  0.091  0.105  -0.649 16.878  0.720  -8.651e-03  -6.292e-04
 121:qp9             29.89  -3.514  3.131  1.652  0.110  0.132   3.824 16.363  0.722  -8.564e-03   1.707e-03
 122:qp9             30.05  -5.394  4.536  1.658  0.133  0.165   7.645 14.501  0.723  -8.108e-03   3.971e-03
 123:sd8             30.25  -6.721  6.959  1.664  0.166  0.165   6.826 11.607  0.726  -7.314e-03   3.971e-03
 124:sx9             30.25  -6.721  6.959  1.664  0.166  0.165   6.826 11.607  0.726  -7.314e-03   3.971e-03
 125:sd9             30.72  -9.881 14.867  1.671  0.245  0.165   4.873  6.034  0.735  -5.423e-03   3.971e-03
 126:qp10            30.88  -5.418 17.357  1.673  0.265  0.084   2.734  4.837  0.740  -4.935e-03   2.156e-03
 127:qp10            31.04   0.115 18.220  1.674  0.272 -0.000   1.154  4.225  0.745  -4.728e-03   4.400e-04
 128:sd8             31.24   0.104 18.176  1.676  0.272 -0.000   1.044  3.786  0.753  -4.640e-03   4.400e-04
 129:sx10            31.24   0.104 18.176  1.676  0.272 -0.000   1.044  3.786  0.753  -4.640e-03   4.400e-04
 130:sdac1           32.25   0.049 18.023  1.685  0.271 -0.000   0.493  2.241  0.809  -4.198e-03   4.400e-04
 131:ssdac           32.25   0.049 18.023  1.685  0.271 -0.000   0.493  2.241  0.809  -4.198e-03   4.400e-04
 132:sdac2           32.45   0.038 18.006  1.687  0.271 -0.000   0.383  2.066  0.824  -4.110e-03   4.400e-04
 133:sdac2           32.65   0.027 17.993  1.688  0.271 -0.000   0.273  1.935  0.839  -4.022e-03   4.400e-04
 134:sdac2           32.85   0.016 17.985  1.690  0.271 -0.000   0.164  1.847  0.856  -3.934e-03   4.400e-04
 135:sdac2           33.05   0.005 17.981  1.692  0.271 -0.000   0.054  1.804  0.873  -3.846e-03   4.400e-04
 136:sdac2           33.25  -0.006 17.981  1.694  0.271 -0.000  -0.056  1.804  0.891  -3.758e-03   4.400e-04
 137:sdac2           33.45  -0.017 17.986  1.695  0.271 -0.000  -0.165  1.848  0.908  -3.670e-03   4.400e-04
 138:sdac2           33.65  -0.028 17.995  1.697  0.271 -0.000  -0.275  1.936  0.925  -3.582e-03   4.400e-04
 139:sdac2           33.85  -0.039 18.008  1.699  0.271 -0.000  -0.385  2.069  0.941  -3.494e-03   4.400e-04
 140:sdac2           34.05  -0.050 18.026  1.701  0.271 -0.000  -0.495  2.244  0.956  -3.406e-03   4.400e-04
 141:esdac           34.05  -0.050 18.026  1.701  0.271 -0.000  -0.495  2.244  0.956  -3.406e-03   4.400e-04
 142:sdac1           35.05  -0.105 18.183  1.709  0.271 -0.000  -1.046  3.792  1.011  -2.964e-03   4.400e-04
 143:sx10            35.05  -0.105 18.183  1.709  0.271 -0.000  -1.046  3.792  1.011  -2.964e-03   4.400e-04
 144:sd8             35.25  -0.116 18.227  1.711  0.271 -0.000  -1.156  4.233  1.019  -2.876e-03   4.400e-04
 145:qp10            35.41   5.419 17.364  1.713  0.264 -0.084  -2.738  4.846  1.025  -2.864e-03  -2.912e-04
 146:qp10            35.57   9.883 14.874  1.714  0.244 -0.165  -4.881  6.045  1.029  -2.970e-03  -1.045e-03
 147:sd9             36.05   6.723  6.964  1.722  0.166 -0.165  -6.836 11.626  1.038  -3.468e-03  -1.045e-03
 148:sx9             36.05   6.723  6.964  1.722  0.166 -0.165  -6.836 11.626  1.038  -3.468e-03  -1.045e-03
 149:sd8             36.25   5.397  4.539  1.727  0.133 -0.165  -7.657 14.524  1.041  -3.677e-03  -1.045e-03
 150:qp9             36.41   3.516  3.134  1.734  0.109 -0.132  -3.829 16.389  1.043  -3.765e-03  -5.265e-05
 151:qp9             36.57   2.251  2.224  1.744  0.090 -0.105   0.651 16.905  1.044  -3.694e-03   9.453e-04
 152:sd7             37.01   1.053  0.770  1.798  0.044 -0.105   0.615 16.347  1.048  -3.278e-03   9.453e-04
 153:bend2           37.18   0.571  0.488  1.844  0.028 -0.072   0.896 16.030  1.050  -3.101e-03   1.005e-03
 154:bend3           37.36   0.101  0.370  1.911  0.019 -0.039   0.876 15.719  1.052  -2.925e-03   1.005e-03
 155:bend3           37.53  -0.370  0.417  1.984  0.015 -0.007   0.856 15.415  1.053  -2.749e-03   1.005e-03
 156:bend3           37.71  -0.840  0.629  2.039  0.016  0.026   0.837 15.118  1.055  -2.572e-03   1.005e-03
 157:bend3           37.88  -1.305  1.006  2.075  0.024  0.059   0.817 14.828  1.057  -2.396e-03   1.005e-03
 158:bend4           38.06  -1.794  1.545  2.097  0.037  0.092   1.065 14.545  1.059  -2.220e-03   1.046e-03
 159:sd7             38.50  -2.992  3.650  2.126  0.077  0.092   1.001 13.636  1.064  -1.759e-03   1.046e-03
 160:qp6             38.66  -4.274  4.802  2.132  0.093  0.107   3.315 12.939  1.066  -1.568e-03   1.340e-03
 161:qp6             38.82  -6.051  6.438  2.137  0.112  0.125   5.253 11.555  1.068  -1.333e-03   1.594e-03
 162:sd5             39.02  -7.219  9.092  2.141  0.137  0.125   4.758  9.553  1.071  -1.014e-03   1.594e-03
