# TRACY II v. SYNCHROTRON SOLEIL -- fmapdp.out -- Mon Feb 16 09:27:05 2004 
# nu = f(x) 
#    dp[m]         x[m]           fx            fz           dfx           dfz
-6.000000e-02  1.870929e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  1.882032e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  1.893069e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  1.904043e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  1.914954e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  1.925803e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  1.936592e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  1.947320e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  1.957990e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  1.968602e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  1.979157e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  1.989656e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  2.000100e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  2.010490e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  2.020826e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  2.031110e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  2.041341e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  2.051522e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  2.061653e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  2.071734e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  2.081766e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  2.091750e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  2.101687e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  2.111577e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  2.121420e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  2.131219e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  2.140972e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  2.150681e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  2.160347e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  2.169969e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  2.179549e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  2.189088e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  2.198584e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  2.208040e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  2.217456e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  2.226832e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  2.236168e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  2.245466e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  2.254725e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  2.263946e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  2.273130e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  2.282277e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  2.291388e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  2.300462e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  2.309501e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  2.318505e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  2.327473e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  2.336408e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  2.345308e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  2.354174e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  2.363008e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  2.371808e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  2.380576e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  2.389312e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  2.398016e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  2.406688e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  2.415329e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  2.423940e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
