# TRACY II v. SYNCHROTRON SOLEIL -- chambre.out -- Mon Feb 16 09:27:02 2004 
#  i  name      s   -xch(mm)   +xch(mm)  zch (mm)
#
 186  sd13b   44.26  -35.000   35.000   12.500
 187  sd13b   44.41  -35.000   35.000   12.500
 188  sd13a   44.61  -35.000   35.000   12.500
 189  sd13a   44.81  -35.000   35.000   12.500
 190  sd13a   45.01  -35.000   35.000   12.500
 191  sd13a   45.21  -35.000   35.000   12.500
 192  sd13a   45.41  -35.000   35.000   12.500
 193  sd13a   45.61  -35.000   35.000   12.500
 194  sd13a   45.81  -35.000   35.000   12.500
 195  sd13a   46.01  -35.000   35.000   12.500
 196  sd13a   46.21  -35.000   35.000   12.500
 197  sd13a   46.41  -35.000   35.000   12.500
 198  sd13a   46.61  -35.000   35.000   12.500
 199  sd13a   46.81  -35.000   35.000   12.500
 200  sd13a   47.01  -35.000   35.000   12.500
 201  sd13c   47.74  -35.000   35.000   12.500
 202  qp8     47.90  -35.000   35.000   12.500
 203  qp8     48.06  -35.000   35.000   12.500
 204  sd2     48.45  -35.000   35.000   12.500
 205  sx8     48.45  -35.000   35.000   12.500
 206  sd3     48.65  -35.000   35.000   12.500
 207  qp7     48.88  -35.000   35.000   12.500
 208  qp7     49.11  -35.000   35.000   12.500
 209  sd4     49.50  -35.000   35.000   12.500
 210  sx7     49.50  -35.000   35.000   12.500
 211  sd5     49.70  -35.000   35.000   12.500
 212  qp6     49.86  -35.000   35.000   12.500
 213  qp6     50.02  -35.000   35.000   12.500
 214  sd7     50.46  -35.000   35.000   12.500
 215  bend2   50.64  -35.000   35.000   12.500
 216  bend3   50.82  -35.000   35.000   12.500
 217  bend3   50.99  -35.000   35.000   12.500
 218  bend3   51.17  -35.000   35.000   12.500
 219  bend3   51.34  -35.000   35.000   12.500
 220  bend4   51.52  -35.000   35.000   12.500
 221  sd7     51.96  -35.000   35.000   12.500
 222  qp9     52.12  -35.000   35.000   12.500
 223  qp9     52.28  -35.000   35.000   12.500
 224  sd8     52.48  -35.000   35.000   12.500
 225  sx9     52.48  -35.000   35.000   12.500
 226  sd9     52.95  -35.000   35.000   12.500
 227  qp10    53.11  -35.000   35.000   12.500
 228  qp10    53.27  -35.000   35.000   12.500
 229  sd8     53.47  -35.000   35.000   12.500
 230  sx10    53.47  -35.000   35.000   12.500
 231  sdac    55.38  -35.000   35.000   12.500
 232  sdac    57.28  -35.000   35.000   12.500
 233  sx10    57.28  -35.000   35.000   12.500
 234  sd8     57.48  -35.000   35.000   12.500
 235  qp10    57.64  -35.000   35.000   12.500
 236  qp10    57.80  -35.000   35.000   12.500
 237  sd9     58.28  -35.000   35.000   12.500
 238  sx9     58.28  -35.000   35.000   12.500
 239  sd8     58.48  -35.000   35.000   12.500
 240  qp9     58.64  -35.000   35.000   12.500
 241  qp9     58.80  -35.000   35.000   12.500
 242  sd7     59.24  -35.000   35.000   12.500
 243  bend2   59.41  -35.000   35.000   12.500
 244  bend3   59.59  -35.000   35.000   12.500
 245  bend3   59.77  -35.000   35.000   12.500
 246  bend3   59.94  -35.000   35.000   12.500
 247  bend3   60.12  -35.000   35.000   12.500
 248  bend4   60.29  -35.000   35.000   12.500
 249  sd7     60.73  -35.000   35.000   12.500
 250  qp6     60.89  -35.000   35.000   12.500
 251  qp6     61.05  -35.000   35.000   12.500
 252  sd5     61.25  -35.000   35.000   12.500
 253  sx7     61.25  -35.000   35.000   12.500
 254  sd4     61.64  -35.000   35.000   12.500
 255  qp7     61.87  -35.000   35.000   12.500
 256  qp7     62.10  -35.000   35.000   12.500
 257  sd3     62.30  -35.000   35.000   12.500
 258  sx8     62.30  -35.000   35.000   12.500
 259  sd2     62.69  -35.000   35.000   12.500
 260  qp8     62.85  -35.000   35.000   12.500
 261  qp8     63.01  -35.000   35.000   12.500
 262  sd13    66.49  -35.000   35.000   12.500
 263  sd13    69.98  -35.000   35.000   12.500
 264  qp8     70.14  -35.000   35.000   12.500
 265  qp8     70.30  -35.000   35.000   12.500
 266  sd2     70.69  -35.000   35.000   12.500
 267  sx6     70.69  -35.000   35.000   12.500
 268  sd3     70.89  -35.000   35.000   12.500
 269  qp7     71.12  -35.000   35.000   12.500
 270  qp7     71.35  -35.000   35.000   12.500
 271  sd4     71.74  -35.000   35.000   12.500
 272  sx5     71.74  -35.000   35.000   12.500
 273  sd5     71.94  -35.000   35.000   12.500
 274  qp6     72.10  -35.000   35.000   12.500
 275  qp6     72.26  -35.000   35.000   12.500
 276  sd7     72.70  -35.000   35.000   12.500
 277  bend2   72.87  -35.000   35.000   12.500
 278  bend3   73.05  -35.000   35.000   12.500
 279  bend3   73.22  -35.000   35.000   12.500
 280  bend3   73.40  -35.000   35.000   12.500
 281  bend3   73.57  -35.000   35.000   12.500
 282  bend4   73.75  -35.000   35.000   12.500
 283  sd7     74.19  -35.000   35.000   12.500
 284  qp4     74.35  -35.000   35.000   12.500
 285  qp4     74.51  -35.000   35.000   12.500
 286  sd8     74.71  -35.000   35.000   12.500
 287  sx3     74.71  -35.000   35.000   12.500
 288  sd9     75.19  -35.000   35.000   12.500
 289  qp5     75.35  -35.000   35.000   12.500
 290  qp5     75.51  -35.000   35.000   12.500
 291  sd10    75.98  -35.000   35.000   12.500
 292  sx4     75.98  -35.000   35.000   12.500
 293  sd12    76.45  -35.000   35.000   12.500
 294  qp5     76.61  -35.000   35.000   12.500
 295  qp5     76.77  -35.000   35.000   12.500
 296  sd9     77.24  -35.000   35.000   12.500
 297  sx3     77.24  -35.000   35.000   12.500
 298  sd8     77.44  -35.000   35.000   12.500
 299  qp4     77.60  -35.000   35.000   12.500
 300  qp4     77.76  -35.000   35.000   12.500
 301  sd7     78.20  -35.000   35.000   12.500
 302  bend2   78.38  -35.000   35.000   12.500
 303  bend3   78.55  -35.000   35.000   12.500
 304  bend3   78.73  -35.000   35.000   12.500
 305  bend3   78.90  -35.000   35.000   12.500
 306  bend3   79.08  -35.000   35.000   12.500
 307  bend4   79.25  -35.000   35.000   12.500
 308  sd6     80.04  -35.000   35.000   12.500
 309  sx2     80.04  -35.000   35.000   12.500
 310  sd5     80.24  -35.000   35.000   12.500
 311  qp3     80.40  -35.000   35.000   12.500
 312  qp3     80.56  -35.000   35.000   12.500
 313  sd14    81.15  -35.000   35.000   12.500
 314  qp2     81.38  -35.000   35.000   12.500
 315  qp2     81.61  -35.000   35.000   12.500
 316  sd3     81.81  -35.000   35.000   12.500
 317  sx1     81.81  -35.000   35.000   12.500
 318  sd2     82.20  -35.000   35.000   12.500
 319  qp1     82.36  -35.000   35.000   12.500
 320  qp1     82.52  -35.000   35.000   12.500
 321  sd1     88.52  -35.000   35.000   12.500
 322  sd1     94.52  -35.000   35.000   12.500
 323  qp1     94.68  -35.000   35.000   12.500
 324  qp1     94.84  -35.000   35.000   12.500
 325  sd2     95.23  -35.000   35.000   12.500
 326  sx1     95.23  -35.000   35.000   12.500
 327  sd3     95.43  -35.000   35.000   12.500
 328  qp2     95.66  -35.000   35.000   12.500
 329  qp2     95.89  -35.000   35.000   12.500
 330  sd14    96.48  -35.000   35.000   12.500
 331  qp3     96.64  -35.000   35.000   12.500
 332  qp3     96.80  -35.000   35.000   12.500
 333  sd5     97.00  -35.000   35.000   12.500
 334  sx2     97.00  -35.000   35.000   12.500
 335  sd6     97.79  -35.000   35.000   12.500
 336  bend2   97.97  -35.000   35.000   12.500
 337  bend3   98.14  -35.000   35.000   12.500
 338  bend3   98.32  -35.000   35.000   12.500
 339  bend3   98.50  -35.000   35.000   12.500
 340  bend3   98.67  -35.000   35.000   12.500
 341  bend4   98.85  -35.000   35.000   12.500
 342  sd7     99.29  -35.000   35.000   12.500
 343  qp4     99.45  -35.000   35.000   12.500
 344  qp4     99.61  -35.000   35.000   12.500
 345  sd8     99.81  -35.000   35.000   12.500
 346  sx3     99.81  -35.000   35.000   12.500
 347  sd9    100.28  -35.000   35.000   12.500
 348  qp5    100.44  -35.000   35.000   12.500
 349  qp5    100.60  -35.000   35.000   12.500
 350  sd12   101.07  -35.000   35.000   12.500
 351  sx4    101.07  -35.000   35.000   12.500
 352  sd10   101.54  -35.000   35.000   12.500
