# trajectory
# s[mm] rx[mm] ry[mm] rz[mm] px[rad] py[rad] pz[rad]
5.1999999999999975e+00 +9.0436089432319733e+00 +0.0000000000000000e+00 +5.1999997519180248e+00 -5.3502208245940520e-04 +0.0000000000000000e+00 +9.9999985687567572e-01
5.2999999999999972e+00 +9.0435549265782864e+00 +0.0000000000000000e+00 +5.2999997373285881e+00 -5.4531099127863515e-04 +0.0000000000000000e+00 +9.9999985131795066e-01
5.3999999999999968e+00 +9.0434998810337195e+00 +0.0000000000000000e+00 +5.3999997221780864e+00 -5.5559990006612367e-04 +0.0000000000000000e+00 +9.9999984565436395e-01
5.4999999999999964e+00 +9.0434438065982743e+00 +0.0000000000000000e+00 +5.4999997064559327e+00 -5.6588880884444125e-04 +0.0000000000000000e+00 +9.9999983988491559e-01
5.5999999999999961e+00 +9.0433867032719508e+00 +0.0000000000000000e+00 +5.5999996901515408e+00 -5.7617771763615339e-04 +0.0000000000000000e+00 +9.9999983400960546e-01
5.6999999999999957e+00 +9.0433285710547455e+00 +0.0000000000000000e+00 +5.6999996732543252e+00 -5.8646662646382039e-04 +0.0000000000000000e+00 +9.9999982802843357e-01
5.7999999999999954e+00 +9.0432694099466548e+00 +0.0000000000000000e+00 +5.7999996557536990e+00 -5.9675553534999722e-04 +0.0000000000000000e+00 +9.9999982194140002e-01
5.8999999999999950e+00 +9.0432092199476717e+00 +0.0000000000000000e+00 +5.8999996376390769e+00 -6.0704444431723399e-04 +0.0000000000000000e+00 +9.9999981574850472e-01
5.9999999999999947e+00 +9.0431480010577872e+00 +0.0000000000000000e+00 +5.9999996188998717e+00 -6.1733335338807550e-04 +0.0000000000000000e+00 +9.9999980944974765e-01
6.0999999999999943e+00 +9.0430857532769409e+00 +0.0000000000000000e+00 +6.0999995995254981e+00 -6.2762226406951060e-04 +0.0000000000000000e+00 +9.9999980304512781e-01
6.1999999999999940e+00 +9.0430224766048699e+00 +0.0000000000000000e+00 +6.1999995795053691e+00 -6.3791117786878991e-04 +0.0000000000000000e+00 +9.9999979653464421e-01
6.2999999999999936e+00 +9.0429581710412617e+00 +0.0000000000000000e+00 +6.2999995588288984e+00 -6.4820009480882619e-04 +0.0000000000000000e+00 +9.9999978991829686e-01
6.3999999999999932e+00 +9.0428928365858017e+00 +0.0000000000000000e+00 +6.3999995374854999e+00 -6.5848901491253416e-04 +0.0000000000000000e+00 +9.9999978319608551e-01
6.4999999999999929e+00 +9.0428264732381720e+00 +0.0000000000000000e+00 +6.4999995154645864e+00 -6.6877793820283276e-04 +0.0000000000000000e+00 +9.9999977636801007e-01
6.5999999999999925e+00 +9.0427590809980529e+00 +0.0000000000000000e+00 +6.5999994927555727e+00 -6.7906686470264497e-04 +0.0000000000000000e+00 +9.9999976943407043e-01
6.6999999999999922e+00 +9.0426906598651229e+00 +0.0000000000000000e+00 +6.6999994693478717e+00 -6.8935579443489786e-04 +0.0000000000000000e+00 +9.9999976239426647e-01
6.7999999999999918e+00 +9.0426212098390568e+00 +0.0000000000000000e+00 +6.7999994452308972e+00 -6.9964472742252242e-04 +0.0000000000000000e+00 +9.9999975524859808e-01
6.8999999999999915e+00 +9.0425507309195279e+00 +0.0000000000000000e+00 +6.8999994203940629e+00 -7.0993366368845374e-04 +0.0000000000000000e+00 +9.9999974799706515e-01
6.9999999999999911e+00 +9.0424792231062074e+00 +0.0000000000000000e+00 +6.9999993948267818e+00 -7.2022260325563096e-04 +0.0000000000000000e+00 +9.9999974063966757e-01
7.0999999999999908e+00 +9.0424066863987953e+00 +0.0000000000000000e+00 +7.0999993685184677e+00 -7.3051154522684781e-04 +0.0000000000000000e+00 +9.9999973317640589e-01
7.1999999999999904e+00 +9.0423331207971120e+00 +0.0000000000000000e+00 +7.1999993414585344e+00 -7.4080048870473424e-04 +0.0000000000000000e+00 +9.9999972560728068e-01
7.2999999999999901e+00 +9.0422585263010049e+00 +0.0000000000000000e+00 +7.2999993136363948e+00 -7.5108943371200948e-04 +0.0000000000000000e+00 +9.9999971793229181e-01
7.3999999999999897e+00 +9.0421829029103193e+00 +0.0000000000000000e+00 +7.3999992850414635e+00 -7.6137838027139396e-04 +0.0000000000000000e+00 +9.9999971015143929e-01
7.4999999999999893e+00 +9.0421062506248990e+00 +0.0000000000000000e+00 +7.4999992556631536e+00 -7.7166732840560726e-04 +0.0000000000000000e+00 +9.9999970226472312e-01
7.5999999999999890e+00 +9.0420285694445859e+00 +0.0000000000000000e+00 +7.5999992254908788e+00 -7.8195627813736838e-04 +0.0000000000000000e+00 +9.9999969427214308e-01
7.6999999999999886e+00 +9.0419498593692182e+00 +0.0000000000000000e+00 +7.6999991945140529e+00 -7.9224522948939538e-04 +0.0000000000000000e+00 +9.9999968617369916e-01
7.7999999999999883e+00 +9.0418701203986327e+00 +0.0000000000000000e+00 +7.7999991627220897e+00 -8.0253418248440577e-04 +0.0000000000000000e+00 +9.9999967796939138e-01
7.8999999999999879e+00 +9.0417893525326658e+00 +0.0000000000000000e+00 +7.8999991301044021e+00 -8.1282313714511618e-04 +0.0000000000000000e+00 +9.9999966965921960e-01
7.9999999999999876e+00 +9.0417075557711488e+00 +0.0000000000000000e+00 +7.9999990966504049e+00 -8.2311209349424271e-04 +0.0000000000000000e+00 +9.9999966124318374e-01
8.0999999999999872e+00 +9.0416247301139290e+00 +0.0000000000000000e+00 +8.0999990623495108e+00 -8.3340105103332372e-04 +0.0000000000000000e+00 +9.9999965272128410e-01
8.1999999999999869e+00 +9.0415408755609192e+00 +0.0000000000000000e+00 +8.1999990271911329e+00 -8.4369000926380340e-04 +0.0000000000000000e+00 +9.9999964409352116e-01
8.2999999999999865e+00 +9.0414559921120521e+00 +0.0000000000000000e+00 +8.2999989911646868e+00 -8.5397896820827302e-04 +0.0000000000000000e+00 +9.9999963535989478e-01
8.3999999999999861e+00 +9.0413700797672529e+00 +0.0000000000000000e+00 +8.3999989542595834e+00 -8.6426792788932250e-04 +0.0000000000000000e+00 +9.9999962652040497e-01
8.4999999999999858e+00 +9.0412831385264489e+00 +0.0000000000000000e+00 +8.4999989164652376e+00 -8.7455688832953869e-04 +0.0000000000000000e+00 +9.9999961757505174e-01
8.5999999999999854e+00 +9.0411951683895619e+00 +0.0000000000000000e+00 +8.5999988777710641e+00 -8.8484584955150563e-04 +0.0000000000000000e+00 +9.9999960852383496e-01
8.6999999999999851e+00 +9.0411061693565120e+00 +0.0000000000000000e+00 +8.6999988381664757e+00 -8.9513481157780443e-04 +0.0000000000000000e+00 +9.9999959936675464e-01
8.7999999999999847e+00 +9.0410161414272192e+00 +0.0000000000000000e+00 +8.7999987976408853e+00 -9.0542377443101317e-04 +0.0000000000000000e+00 +9.9999959010381068e-01
8.8999999999999844e+00 +9.0409250846015983e+00 +0.0000000000000000e+00 +8.8999987561837077e+00 -9.1571273813370710e-04 +0.0000000000000000e+00 +9.9999958073500306e-01
8.9999999999999840e+00 +9.0408329988795639e+00 +0.0000000000000000e+00 +8.9999987137843558e+00 -9.2600170270845834e-04 +0.0000000000000000e+00 +9.9999957126033168e-01
9.0999999999999837e+00 +9.0407398842609901e+00 +0.0000000000000000e+00 +9.0999986704322442e+00 -9.3629066931079623e-04 +0.0000000000000000e+00 +9.9999956167979553e-01
9.1999999999999833e+00 +9.0406457407455960e+00 +0.0000000000000000e+00 +9.1999986261167859e+00 -9.4657963909664802e-04 +0.0000000000000000e+00 +9.9999955199339341e-01
9.2999999999999829e+00 +9.0405505683330638e+00 +0.0000000000000000e+00 +9.2999985808273937e+00 -9.5686861208912465e-04 +0.0000000000000000e+00 +9.9999954220112519e-01
9.3999999999999826e+00 +9.0404543670230701e+00 +0.0000000000000000e+00 +9.3999985345534824e+00 -9.6715758831133819e-04 +0.0000000000000000e+00 +9.9999953230299066e-01
9.4999999999999822e+00 +9.0403571368152917e+00 +0.0000000000000000e+00 +9.4999984872844632e+00 -9.7744656778640630e-04 +0.0000000000000000e+00 +9.9999952229898981e-01
9.5999999999999819e+00 +9.0402588777094035e+00 +0.0000000000000000e+00 +9.5999984390097506e+00 -9.8773555053745287e-04 +0.0000000000000000e+00 +9.9999951218912242e-01
9.6999999999999815e+00 +9.0401595897050750e+00 +0.0000000000000000e+00 +9.6999983897187576e+00 -9.9802453658760738e-04 +0.0000000000000000e+00 +9.9999950197338849e-01
9.7999999999999812e+00 +9.0400592728019760e+00 +0.0000000000000000e+00 +9.7999983394008989e+00 -1.0083135259600054e-03 +0.0000000000000000e+00 +9.9999949165178781e-01
9.8999999999999808e+00 +9.0399579269997723e+00 +0.0000000000000000e+00 +9.8999982880455875e+00 -1.0186025186777884e-03 +0.0000000000000000e+00 +9.9999948122432025e-01
9.9999999999999805e+00 +9.0398555522981283e+00 +0.0000000000000000e+00 +9.9999982356422343e+00 -1.0288915147641036e-03 +0.0000000000000000e+00 +9.9999947069098571e-01
1.0099999999999980e+01 +9.0397521486967367e+00 +0.0000000000000000e+00 +1.0099998182180254e+01 -1.0391805133436230e-03 +0.0000000000000000e+00 +9.9999946005178497e-01
1.0199999999999980e+01 +9.0396477161954056e+00 +0.0000000000000000e+00 +1.0199998127649062e+01 -1.0494695135405971e-03 +0.0000000000000000e+00 +9.9999944930671880e-01
1.0299999999999979e+01 +9.0395422547939734e+00 +0.0000000000000000e+00 +1.0299998072038070e+01 -1.0597585153776091e-03 +0.0000000000000000e+00 +9.9999943845578720e-01
1.0399999999999979e+01 +9.0394357644922749e+00 +0.0000000000000000e+00 +1.0399998015336692e+01 -1.0700475188772452e-03 +0.0000000000000000e+00 +9.9999942749899007e-01
1.0499999999999979e+01 +9.0393282452901413e+00 +0.0000000000000000e+00 +1.0499997957534340e+01 -1.0803365240620883e-03 +0.0000000000000000e+00 +9.9999941643632739e-01
1.0599999999999978e+01 +9.0392196971874057e+00 +0.0000000000000000e+00 +1.0599997898620428e+01 -1.0906255309547194e-03 +0.0000000000000000e+00 +9.9999940526779907e-01
1.0699999999999978e+01 +9.0391101201838939e+00 +0.0000000000000000e+00 +1.0699997838584370e+01 -1.1009145395777169e-03 +0.0000000000000000e+00 +9.9999939399340498e-01
1.0799999999999978e+01 +9.0389995142794319e+00 +0.0000000000000000e+00 +1.0799997777415580e+01 -1.1112035499536562e-03 +0.0000000000000000e+00 +9.9999938261314503e-01
1.0899999999999977e+01 +9.0388878794738439e+00 +0.0000000000000000e+00 +1.0899997715103471e+01 -1.1214925621051107e-03 +0.0000000000000000e+00 +9.9999937112701920e-01
1.0999999999999977e+01 +9.0387752157669503e+00 +0.0000000000000000e+00 +1.0999997651637456e+01 -1.1317815760546507e-03 +0.0000000000000000e+00 +9.9999935953502728e-01
1.1099999999999977e+01 +9.0386615231585452e+00 +0.0000000000000000e+00 +1.1099997587006948e+01 -1.1420705926079885e-03 +0.0000000000000000e+00 +9.9999934783716837e-01
1.1199999999999976e+01 +9.0385468016483141e+00 +0.0000000000000000e+00 +1.1199997521201361e+01 -1.1523596125712888e-03 +0.0000000000000000e+00 +9.9999933603344149e-01
1.1299999999999976e+01 +9.0384310512359161e+00 +0.0000000000000000e+00 +1.1299997454210107e+01 -1.1626486359677256e-03 +0.0000000000000000e+00 +9.9999932412384651e-01
1.1399999999999975e+01 +9.0383142719210063e+00 +0.0000000000000000e+00 +1.1399997386022601e+01 -1.1729376628204728e-03 +0.0000000000000000e+00 +9.9999931210838322e-01
