# TRACY II v. SYNCHROTRON SOLEIL -- linlat.out -- Wed Mar 17 19:37:58 2004 
#       name           s    alphax  betax   nux   etax   etapx  alphay  betay   nuy   etay   etapy
#                     [m]            [m]           [m]                   [m]           [m]
#                     exit        
 100:sd13c           25.51  -0.816  7.018  1.220  0.139  0.001  -1.982  8.650  0.651  -4.497e-03  -1.505e-03
 101:qp8             25.67  -2.894  7.603  1.223  0.143  0.039   0.387  8.909  0.654  -4.644e-03  -3.307e-04
 102:qp8             25.83  -5.483  8.924  1.226  0.152  0.079   2.690  8.409  0.657  -4.602e-03   8.547e-04
 103:sd2             26.22  -6.840 13.730  1.232  0.183  0.079   2.308  6.460  0.666  -4.269e-03   8.547e-04
 104:sx8             26.22  -6.840 13.730  1.232  0.183  0.079   2.308  6.460  0.666  -4.269e-03   8.547e-04
 105:sd3             26.42  -7.536 16.606  1.234  0.199  0.079   2.113  5.576  0.671  -4.098e-03   8.547e-04
 106:qp7             26.65   1.243 18.113  1.236  0.205 -0.025  -0.685  5.259  0.678  -4.142e-03  -1.248e-03
 107:qp7             26.88   9.462 15.550  1.238  0.187 -0.126  -3.816  6.256  0.684  -4.683e-03  -3.497e-03
 108:sd4             27.27   7.191  9.055  1.243  0.138 -0.126  -4.786  9.611  0.692  -6.047e-03  -3.497e-03
 109:sx7             27.27   7.191  9.055  1.243  0.138 -0.126  -4.786  9.611  0.692  -6.047e-03  -3.497e-03
 110:sd5             27.47   6.027  6.411  1.247  0.113 -0.126  -5.283 11.625  0.695  -6.746e-03  -3.497e-03
 111:qp6             27.63   4.258  4.781  1.252  0.094 -0.107  -3.334 13.017  0.697  -7.208e-03  -2.254e-03
 112:qp6             27.79   2.980  3.634  1.258  0.079 -0.092  -1.007 13.718  0.699  -7.464e-03  -9.448e-04
 113:sd7             28.23   1.785  1.537  1.288  0.038 -0.092  -1.071 14.632  0.704  -7.880e-03  -9.448e-04
 114:bend2           28.41   1.298  1.001  1.310  0.025 -0.059  -0.822 14.917  0.706  -8.020e-03  -8.000e-04
 115:bend3           28.58   0.833  0.628  1.345  0.017 -0.026  -0.841 15.209  0.708  -8.160e-03  -8.000e-04
 116:bend3           28.76   0.365  0.417  1.401  0.016  0.007  -0.861 15.508  0.710  -8.301e-03  -8.000e-04
 117:bend3           28.93  -0.105  0.372  1.474  0.020  0.039  -0.881 15.813  0.711  -8.441e-03  -8.000e-04
 118:bend3           29.11  -0.574  0.491  1.541  0.029  0.072  -0.900 16.125  0.713  -8.581e-03  -8.000e-04
 119:bend4           29.29  -1.055  0.774  1.587  0.045  0.105  -0.618 16.445  0.715  -8.722e-03  -6.398e-04
 120:sd7             29.73  -2.250  2.228  1.641  0.091  0.105  -0.654 17.004  0.719  -9.003e-03  -6.398e-04
